n_features,cv_accuracy
1,0.6467659883720931
2,0.6833091085271319
3,0.834641472868217
4,0.9153464147286823
5,0.9269864341085272
6,0.924624515503876
7,0.6715964147286823
8,0.6808987403100776
9,0.6762475775193799
10,0.6855680717054263
11,0.6847989341085271
12,0.7740552325581396
13,0.7756116763565892
14,0.7756116763565892
15,0.7756116763565892
16,0.7756116763565892
17,0.7763868701550388
18,0.7771620639534884
19,0.7771620639534884
20,0.7771620639534884
21,0.7810380329457364
22,0.7927022771317829
23,0.8105559593023255
24,0.8113372093023254
25,0.8113372093023254
26,0.8113372093023254
27,0.8113372093023254
28,0.8113372093023254
29,0.8144743217054262
30,0.8144743217054262
31,0.8579517926356589
32,0.8742671996124031
33,0.8742671996124031
34,0.8797117248062015
35,0.8797117248062015
36,0.8797117248062015
37,0.8797117248062015
38,0.9355559593023255
39,0.9355559593023255
40,0.9355559593023255
41,0.9355559593023255
42,0.9355559593023255
43,0.9355559593023255
44,0.9503088662790697
45,0.9503088662790697
46,0.9627180232558139
47,0.9627180232558139
48,0.9627180232558139
49,0.9681504360465116
50,0.9666000484496123
55,0.9821281492248062
60,0.9821342054263565
65,0.9821342054263565
70,0.979015261627907
75,0.9883539244186046
80,0.9883539244186046
85,0.9891291182170543
90,0.9945615310077519
95,0.9953367248062015
100,0.9953367248062015
105,0.9945554748062015
110,0.9937742248062016
115,0.9937742248062016
120,0.9937742248062016
125,0.9937742248062016
