n_features,cv_accuracy
1,0.6506009615384615
2,0.8058653846153845
3,0.8230048076923075
4,0.6616586538461539
5,0.7823798076923077
6,0.7823798076923077
7,0.7823798076923077
8,0.7823798076923077
9,0.7808413461538461
10,0.7824038461538462
11,0.7839423076923077
12,0.7886057692307692
13,0.8228125000000001
14,0.8553605769230769
15,0.8553605769230769
16,0.8569230769230769
17,0.8600240384615384
18,0.8600240384615384
19,0.8693509615384615
20,0.8647355769230769
21,0.8662980769230769
22,0.8678605769230769
23,0.8772355769230769
24,0.9067788461538461
25,0.9067788461538461
26,0.9207211538461539
27,0.922283653846154
28,0.9207211538461539
29,0.9207211538461539
30,0.9207211538461539
31,0.9410096153846155
32,0.9410096153846155
33,0.942548076923077
34,0.9425240384615385
35,0.942548076923077
36,0.945625
37,0.944110576923077
38,0.944110576923077
39,0.944110576923077
40,0.9471875000000001
41,0.9471875000000001
42,0.9471875000000001
43,0.9471875000000001
44,0.945673076923077
45,0.9628125000000001
46,0.9628125000000001
47,0.9612259615384616
48,0.9612259615384616
49,0.9612259615384616
50,0.9627884615384616
55,0.9752644230769232
60,0.9860817307692308
65,0.9876201923076924
70,0.992235576923077
75,0.9906971153846154
80,0.9906971153846154
85,0.9906971153846154
90,0.9906971153846154
95,0.9891586538461539
100,0.9875961538461538
105,0.9875961538461538
110,0.9875961538461538
115,0.9875961538461538
120,0.9906971153846154
125,0.9906971153846154
